名称：TrackMania² Stadium Demo 	 发行日期：2013年11月7日 	 评级：None 	 评价详情：None 
名称：TrackMania² Canyon Demo 	 发行日期：2013年11月7日 	 评级：None 	 评价详情：None 
名称：TrackMania² Valley Demo 	 发行日期：2013年11月7日 	 评级：None 	 评价详情：None 
名称：ShootMania Elite Demo 	 发行日期：2013年10月9日 	 评级：None 	 评价详情：None 
名称：Flashback Demo 	 发行日期：2013年10月1日 	 评级：None 	 评价详情：None 
名称：Flashback 	 发行日期：2013年10月1日 	 评级：褒贬不一 	 评价详情：332 篇用户的游戏评测中有 61% 为好评。 
名称：Rayman® Legends 	 发行日期：2013年8月29日 	 评级：特别好评 	 评价详情：2,529 篇用户的游戏评测中有 92% 为好评。 
名称：Rayman® Legends Demo 	 发行日期：2013年8月29日 	 评级：None 	 评价详情：None 
名称：Tom Clancy’s Splinter Cell Blacklist 	 发行日期：2013年8月22日 	 评级：特别好评 	 评价详情：9,540 篇用户的游戏评测中有 83% 为好评。 
名称：Cloudberry Kingdom™ 	 发行日期：2013年8月2日 	 评级：特别好评 	 评价详情：151 篇用户的游戏评测中有 92% 为好评。 
名称：TrackMania² Valley 	 发行日期：2013年7月4日 	 评级：多半好评 	 评价详情：263 篇用户的游戏评测中有 76% 为好评。 
名称：TrackMania² Stadium 	 发行日期：2013年6月20日 	 评级：特别好评 	 评价详情：2,271 篇用户的游戏评测中有 83% 为好评。 
名称：Rocksmith - Blondie - Call Me 	 发行日期：2013年5月28日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Rick Springfield - Jessie’s Girl 	 发行日期：2013年5月28日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Tommy Tutone - 867-5309/Jenny 	 发行日期：2013年5月28日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Maroon 5 - Misery 	 发行日期：2013年5月14日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Maroon 5 - She Will Be Loved 	 发行日期：2013年5月14日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Maroon 5 - Harder to Breathe 	 发行日期：2013年5月14日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Maroon 5 Song Pack 	 发行日期：2013年5月14日 	 评级：None 	 评价详情：None 
名称：Trials Evolution Gold Edition - Demo 	 发行日期：2013年5月7日 	 评级：None 	 评价详情：None 
名称：Might & Magic: Heroes VI - Shades of Darkness 	 发行日期：2013年5月2日 	 评级：None 	 评价详情：None 
名称：Far Cry 3 - Blood Dragon 	 发行日期：2013年5月1日 	 评级：特别好评 	 评价详情：8,969 篇用户的游戏评测中有 88% 为好评。 
名称：Rocksmith - Billy Idol - White Wedding (Part 1) 	 发行日期：2013年4月30日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Survivor - Eye of the Tiger 	 发行日期：2013年4月30日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Pixies - Here Comes Your Man 	 发行日期：2013年4月30日 	 评级：None 	 评价详情：None 
